time;pm10;pm25;so2;co;o3;no2;tavg;rhum;prcp;wspd;wdir
2023-08-09;58.0;79.0;39.0;9.0;24.0;24.0;29.1;75.0;0.0;8.7;23.0
2023-08-10;58.0;87.0;41.0;10.0;27.0;31.0;28.9;76.0;0.9;9.7;47.0
2023-08-11;66.0;96.0;40.0;10.0;29.0;29.0;28.8;74.0;0.5;8.5;62.0
2023-08-12;66.0;98.0;42.0;12.0;28.0;28.0;27.3;70.0;0.0;10.6;76.0
2023-08-13;59.0;87.0;43.0;12.0;27.0;24.0;29.0;72.0;0.0;10.2;96.0
2023-08-14;56.0;82.0;42.0;12.0;30.0;25.0;28.9;71.0;0.0;8.7;80.0
2023-08-15;61.0;90.0;46.0;11.0;26.0;33.0;29.0;71.0;0.0;9.5;77.0
2023-08-16;63.0;93.0;42.0;12.0;28.0;35.0;29.1;68.0;0.4;8.0;354.0
2023-08-17;61.0;87.0;42.0;11.0;21.0;29.0;28.8;67.0;0.0;10.2;26.0
2023-08-18;46.0;67.0;40.0;12.0;24.0;22.0;28.7;69.0;0.2;9.3;19.0
2023-08-19;56.0;84.0;41.0;12.0;28.0;28.0;29.2;71.0;0.0;9.8;68.0
2023-08-20;59.0;86.0;42.0;13.0;30.0;20.0;29.6;71.0;0.0;9.4;53.0
2023-08-21;57.0;82.0;40.0;13.0;28.0;21.0;29.3;68.0;0.2;8.8;37.0
2023-08-22;59.0;88.0;42.0;14.0;25.0;30.0;29.2;71.0;1.6;10.2;99.0
2023-08-23;64.0;96.0;41.0;14.0;29.0;37.0;29.2;71.0;0.1;9.5;44.0
2023-08-24;64.0;89.0;45.0;12.0;26.0;27.0;29.4;71.0;0.0;8.9;37.0
2023-08-25;60.0;90.0;45.0;13.0;40.0;35.0;29.3;72.0;0.7;6.8;357.0
2023-08-26;77.0;84.0;42.0;8.0;30.0;23.0;29.3;72.0;0.1;7.5;348.0
2023-08-27;64.0;94.0;40.0;12.0;42.0;23.0;28.7;78.0;1.5;6.4;356.0
2023-08-28;62.0;85.0;41.0;13.0;28.0;30.0;28.7;76.0;2.1;6.8;39.0
2023-08-29;63.0;90.0;45.0;14.0;23.0;30.0;29.0;71.0;0.0;7.2;42.0
2023-08-30;64.0;90.0;44.0;13.0;32.0;32.0;28.6;71.0;0.0;9.6;70.0
2023-08-31;68.0;104.0;44.0;13.0;39.0;34.0;28.6;71.0;0.0;9.0;3.0
2023-09-01;71.0;101.0;42.0;12.0;35.0;37.0;28.6;72.0;0.0;8.8;32.0
2023-09-02;74.0;108.0;43.0;11.0;34.0;33.0;29.1;72.0;0.0;8.7;19.0
2023-09-03;63.0;93.0;43.0;11.0;42.0;20.0;27.6;64.0;0.0;13.3;131.0
2023-09-04;62.0;89.0;45.0;11.0;31.0;29.0;28.4;64.0;0.0;11.6;86.0
2023-09-05;66.0;99.0;46.0;16.0;27.0;36.0;28.9;64.0;0.0;9.1;68.0
2023-09-06;60.0;93.0;47.0;16.0;32.0;35.0;29.3;65.0;0.0;7.9;332.0
2023-09-07;62.0;95.0;47.0;15.0;33.0;30.0;29.0;69.0;0.0;7.8;349.0
2023-09-08;66.0;102.0;49.0;14.0;24.0;34.0;29.5;75.0;3.0;8.6;43.0
2023-09-09;46.0;88.0;54.0;13.0;26.0;27.0;29.3;71.0;0.9;7.6;323.0
2023-09-10;58.0;82.0;41.0;11.0;29.0;23.0;28.7;72.0;0.4;7.7;345.0
2023-09-11;62.0;91.0;41.0;10.0;35.0;29.0;29.1;66.0;0.0;8.4;59.0
2023-09-12;56.0;82.0;41.0;10.0;18.0;24.0;30.1;65.0;0.0;9.4;72.0
2023-09-13;55.0;86.0;41.0;10.0;31.0;26.0;29.8;65.0;0.0;7.7;356.0
2023-09-14;55.0;73.0;42.0;9.0;29.0;29.0;29.4;66.0;0.3;10.3;334.0
2023-09-15;58.0;82.0;44.0;8.0;29.0;27.0;29.7;66.0;0.0;9.3;40.0
2023-09-16;60.0;88.0;46.0;7.0;33.0;26.0;29.6;70.0;0.0;9.5;79.0
2023-09-17;57.0;76.0;43.0;6.0;33.0;20.0;29.8;69.0;1.3;8.6;25.0
2023-09-18;53.0;76.0;42.0;6.0;32.0;20.0;29.6;72.0;0.9;8.7;350.0
2023-09-19;60.0;88.0;41.0;9.0;33.0;30.0;30.3;79.0;7.7;6.7;357.0
