tanggal;pm10;pm25;so2;co;o3;no2
2024-04-09;40.0;62.0;15.0;20.0;34.0;24.0
2024-04-10;55.0;76.0;14.0;26.0;37.0;34.0
2024-04-11;40.0;54.0;10.0;18.0;31.0;26.0
2024-04-12;24.0;45.0;9.0;15.0;30.0;24.0
2024-04-13;33.0;53.0;10.0;20.0;31.0;29.0
2024-04-14;27.0;47.0;9.0;17.0;34.0;23.0
2024-04-15;27.0;46.0;9.0;19.0;27.0;25.0
2024-04-16;32.0;52.0;13.0;17.0;25.0;20.0
2024-04-17;46.0;69.0;12.0;21.0;35.0;32.0
2024-04-18;44.0;60.0;11.0;24.0;33.0;37.0
2024-04-19;41.0;60.0;14.0;21.0;25.0;38.0
2024-04-20;57.0;77.0;20.0;22.0;24.0;33.0
2024-04-21;40.0;52.0;13.0;18.0;24.0;25.0
2024-04-22;53.0;71.0;13.0;22.0;23.0;40.0
2024-04-23;52.0;70.0;14.0;25.0;17.0;41.0
2024-04-24;50.0;71.0;13.0;25.0;22.0;49.0
2024-04-25;52.0;69.0;11.0;23.0;31.0;51.0
2024-04-26;41.0;58.0;13.0;19.0;26.0;35.0
2024-04-27;53.0;73.0;19.0;22.0;20.0;34.0
2024-04-28;51.0;74.0;13.0;25.0;28.0;34.0
2024-04-29;50.0;65.0;13.0;17.0;28.0;28.0
2024-04-30;53.0;70.0;16.0;18.0;27.0;33.0
2024-01-01;64.0;89.0;52.0;9.0;13.0;30.0
2024-01-02;53.0;93.0;52.0;4.0;12.0;28.0
2024-01-03;52.0;57.0;52.0;6.0;12.0;27.0
2024-01-04;30.0;;112.0;20.0;8.0;77.0
2024-01-05;22.0;54.0;46.0;15.0;24.0;44.0
2024-01-06;49.0;68.0;46.0;12.0;38.0;36.0
2024-01-07;52.0;77.0;45.0;14.0;34.0;44.0
2024-01-08;49.0;52.0;46.0;10.0;27.0;32.0
2024-01-09;50.0;62.0;48.0;13.0;25.0;31.0
2024-01-10;49.0;66.0;49.0;10.0;34.0;41.0
2024-01-11;51.0;58.0;47.0;10.0;24.0;36.0
2024-01-12;30.0;26.0;45.0;8.0;18.0;21.0
2024-01-13;34.0;53.0;46.0;8.0;25.0;25.0
2024-01-14;39.0;49.0;45.0;6.0;20.0;20.0
2024-01-15;55.0;72.0;47.0;10.0;21.0;30.0
2024-01-16;41.0;47.0;48.0;10.0;25.0;24.0
2024-01-17;45.0;54.0;51.0;8.0;16.0;30.0
2024-01-18;45.0;58.0;47.0;11.0;14.0;27.0
2024-01-19;19.0;31.0;46.0;;12.0;20.0
2024-01-20;26.0;28.0;44.0;;17.0;17.0
2024-01-21;36.0;50.0;46.0;6.0;15.0;14.0
2024-01-22;24.0;26.0;44.0;3.0;17.0;11.0
2024-01-23;20.0;38.0;44.0;5.0;15.0;12.0
2024-01-24;31.0;37.0;45.0;8.0;14.0;14.0
2024-01-25;43.0;56.0;48.0;11.0;14.0;22.0
